KUNNAT SAIRAANHOITOPIIREITTÄIN VUONNA 2020 - kunnat aakkosjärj.;;;;;;
;;;;;;
"kunta-
koodi";kunta;shp:n koodi;sairaanhoitopiiri;erva-alue;kuntien lkm;
257;Kirkkonummi;25;HUS;HYKS;89;
260;Kitee;12;Pohjois-Karjala;KYS;90;
261;Kittilä;21;Lappi;OYS;91;
263;Kiuruvesi;13;Pohjois-Savo;KYS;92;
265;Kivijärvi;14;Keski-Suomi;KYS;93;
271;Kokemäki;4;Satakunta;TYKS;94;
272;Kokkola;17;Keski-Pohjanmaa;OYS;95;
273;Kolari;21;Lappi;OYS;96;
275;Konnevesi;14;Keski-Suomi;KYS;97;
276;Kontiolahti;12;Pohjois-Karjala;KYS;98;
280;Korsnäs;16;Vaasa;TYKS;99;
284;Koski tl;3;Varsinais-Suomi;TYKS;100;
285;Kotka;8;Kymenlaakso;HYKS;101;
286;Kouvola;8;Kymenlaakso;HYKS;102;
287;Kristiinankaupunki;16;Vaasa;TYKS;103;
288;Kruunupyy;17;Keski-Pohjanmaa;OYS;104;
290;Kuhmo;19;Kainuu;OYS;105;
291;Kuhmoinen;6;Pirkanmaa;TAYS;106;
297;Kuopio;13;Pohjois-Savo;KYS;107;
300;Kuortane;15;Etelä-Pohjanmaa;TAYS;108;
301;Kurikka;15;Etelä-Pohjanmaa;TAYS;109;
304;Kustavi;3;Varsinais-Suomi;TYKS;110;
305;Kuusamo;18;Pohjois-Pohjanmaa;OYS;111;
312;Kyyjärvi;14;Keski-Suomi;KYS;112;
316;Kärkölä;7;Päijät-Häme;HYKS;113;
317;Kärsämäki;18;Pohjois-Pohjanmaa;OYS;114;
398;Lahti;7;Päijät-Häme;HYKS;115;
399;Laihia;16;Vaasa;TYKS;116;
400;Laitila;3;Varsinais-Suomi;TYKS;117;
407;Lapinjärvi;25;HUS;HYKS;118;
402;Lapinlahti;13;Pohjois-Savo;KYS;119;
403;Lappajärvi;15;Etelä-Pohjanmaa;TAYS;120;
405;Lappeenranta;9;Etelä-Karjala;HYKS;121;
408;Lapua;15;Etelä-Pohjanmaa;TAYS;122;
410;Laukaa;14;Keski-Suomi;KYS;123;
416;Lemi;9;Etelä-Karjala;HYKS;124;
418;Lempäälä;6;Pirkanmaa;TAYS;125;
420;Leppävirta;13;Pohjois-Savo;KYS;126;
421;Lestijärvi;17;Keski-Pohjanmaa;OYS;127;
422;Lieksa;12;Pohjois-Karjala;KYS;128;
423;Lieto;3;Varsinais-Suomi;TYKS;129;
425;Liminka;18;Pohjois-Pohjanmaa;OYS;130;
426;Liperi;12;Pohjois-Karjala;KYS;131;
444;Lohja;25;HUS;HYKS;132;
430;Loimaa;3;Varsinais-Suomi;TYKS;133;
433;Loppi;5;Kanta-Häme;TAYS;134;
434;Loviisa;25;HUS;HYKS;135;
435;Luhanka;14;Keski-Suomi;KYS;136;
436;Lumijoki;18;Pohjois-Pohjanmaa;OYS;137;
440;Luoto;16;Vaasa;TYKS;138;
441;Luumäki;9;Etelä-Karjala;HYKS;139;
475;Maalahti;16;Vaasa;TYKS;140;
480;Marttila;3;Varsinais-Suomi;TYKS;141;
481;Masku;3;Varsinais-Suomi;TYKS;142;
483;Merijärvi;18;Pohjois-Pohjanmaa;OYS;143;
484;Merikarvia;4;Satakunta;TYKS;144;
489;Miehikkälä;8;Kymenlaakso;HYKS;145;
491;Mikkeli;10;Etelä-Savo;KYS;146;
494;Muhos;18;Pohjois-Pohjanmaa;OYS;147;
495;Multia;14;Keski-Suomi;KYS;148;
498;Muonio;21;Lappi;OYS;149;
499;Mustasaari;16;Vaasa;TYKS;150;
500;Muurame;14;Keski-Suomi;KYS;151;
503;Mynämäki;3;Varsinais-Suomi;TYKS;152;
504;Myrskylä;7;Päijät-Häme;HYKS;153;
505;Mäntsälä;25;HUS;HYKS;154;
508;Mänttä-Vilppula;6;Pirkanmaa;TAYS;155;
507;Mäntyharju;10;Etelä-Savo;KYS;156;
529;Naantali;3;Varsinais-Suomi;TYKS;157;
531;Nakkila;4;Satakunta;TYKS;158;
535;Nivala;18;Pohjois-Pohjanmaa;OYS;159;
536;Nokia;6;Pirkanmaa;TAYS;160;
538;Nousiainen;3;Varsinais-Suomi;TYKS;161;
541;Nurmes;12;Pohjois-Karjala;KYS;162;
543;Nurmijärvi;25;HUS;HYKS;163;
545;Närpiö;16;Vaasa;TYKS;164;
560;Orimattila;7;Päijät-Häme;HYKS;165;
561;Oripää;3;Varsinais-Suomi;TYKS;166;
562;Orivesi;6;Pirkanmaa;TAYS;167;
563;Oulainen;18;Pohjois-Pohjanmaa;OYS;168;
564;Oulu;18;Pohjois-Pohjanmaa;OYS;169;
309;Outokumpu;12;Pohjois-Karjala;KYS;170;
576;Padasjoki;7;Päijät-Häme;HYKS;171;
577;Paimio;3;Varsinais-Suomi;TYKS;172;
578;Paltamo;19;Kainuu;OYS;173;
445;Parainen;3;Varsinais-Suomi;TYKS;174;
580;Parikkala;9;Etelä-Karjala;HYKS;175;
581;Parkano;6;Pirkanmaa;TAYS;176;
599;Pedersöre;16;Vaasa;TYKS;177;
583;Pelkosenniemi;21;Lappi;OYS;178;
854;Pello;21;Lappi;OYS;179;
584;Perho;17;Keski-Pohjanmaa;OYS;180;
588;Pertunmaa;10;Etelä-Savo;KYS;181;
592;Petäjävesi;14;Keski-Suomi;KYS;182;
593;Pieksämäki;10;Etelä-Savo;KYS;183;
595;Pielavesi;13;Pohjois-Savo;KYS;184;
598;Pietarsaari;16;Vaasa;TYKS;185;
601;Pihtipudas;14;Keski-Suomi;KYS;186;
604;Pirkkala;6;Pirkanmaa;TAYS;187;
607;Polvijärvi;12;Pohjois-Karjala;KYS;188;
608;Pomarkku;4;Satakunta;TYKS;189;
609;Pori;4;Satakunta;TYKS;190;
611;Pornainen;25;HUS;HYKS;191;
638;Porvoo;25;HUS;HYKS;192;
614;Posio;21;Lappi;OYS;193;
615;Pudasjärvi;18;Pohjois-Pohjanmaa;OYS;194;
616;Pukkila;7;Päijät-Häme;HYKS;195;
619;Punkalaidun;3;Varsinais-Suomi;TYKS;196;
620;Puolanka;19;Kainuu;OYS;197;
623;Puumala;10;Etelä-Savo;KYS;198;
624;Pyhtää;8;Kymenlaakso;HYKS;199;
625;Pyhäjoki;18;Pohjois-Pohjanmaa;OYS;200;
626;Pyhäjärvi;18;Pohjois-Pohjanmaa;OYS;201;
630;Pyhäntä;18;Pohjois-Pohjanmaa;OYS;202;
631;Pyhäranta;3;Varsinais-Suomi;TYKS;203;
635;Pälkäne;6;Pirkanmaa;TAYS;204;
636;Pöytyä;3;Varsinais-Suomi;TYKS;205;
678;Raahe;18;Pohjois-Pohjanmaa;OYS;206;
710;Raasepori;25;HUS;HYKS;207;
680;Raisio;3;Varsinais-Suomi;TYKS;208;
681;Rantasalmi;11;Itä-Savo;KYS;209;
683;Ranua;21;Lappi;OYS;210;
684;Rauma;4;Satakunta;TYKS;211;
686;Rautalampi;13;Pohjois-Savo;KYS;212;
687;Rautavaara;13;Pohjois-Savo;KYS;213;
689;Rautjärvi;9;Etelä-Karjala;HYKS;214;
691;Reisjärvi;17;Keski-Pohjanmaa;OYS;215;
694;Riihimäki;5;Kanta-Häme;TAYS;216;
697;Ristijärvi;19;Kainuu;OYS;217;
698;Rovaniemi;21;Lappi;OYS;218;
700;Ruokolahti;9;Etelä-Karjala;HYKS;219;
702;Ruovesi;6;Pirkanmaa;TAYS;220;
704;Rusko;3;Varsinais-Suomi;TYKS;221;
707;Rääkkylä;12;Pohjois-Karjala;KYS;222;
729;Saarijärvi;14;Keski-Suomi;KYS;223;
732;Salla;21;Lappi;OYS;224;
734;Salo;3;Varsinais-Suomi;TYKS;225;
790;Sastamala;6;Pirkanmaa;TAYS;226;
738;Sauvo;3;Varsinais-Suomi;TYKS;227;
739;Savitaipale;9;Etelä-Karjala;HYKS;228;
740;Savonlinna;11;Itä-Savo;KYS;229;
742;Savukoski;21;Lappi;OYS;230;
743;Seinäjoki;15;Etelä-Pohjanmaa;TAYS;231;
746;Sievi;18;Pohjois-Pohjanmaa;OYS;232;
747;Siikainen;4;Satakunta;TYKS;233;
748;Siikajoki;18;Pohjois-Pohjanmaa;OYS;234;
791;Siikalatva;18;Pohjois-Pohjanmaa;OYS;235;
749;Siilinjärvi;13;Pohjois-Savo;KYS;236;
751;Simo;20;Länsi-Pohja;OYS;237;
753;Sipoo;25;HUS;HYKS;238;
755;Siuntio;25;HUS;HYKS;239;
758;Sodankylä;21;Lappi;OYS;240;
759;Soini;15;Etelä-Pohjanmaa;TAYS;241;
761;Somero;3;Varsinais-Suomi;TYKS;242;
762;Sonkajärvi;13;Pohjois-Savo;KYS;243;
765;Sotkamo;19;Kainuu;OYS;244;
768;Sulkava;11;Itä-Savo;KYS;245;
777;Suomussalmi;19;Kainuu;OYS;246;
778;Suonenjoki;13;Pohjois-Savo;KYS;247;
781;Sysmä;7;Päijät-Häme;HYKS;248;
783;Säkylä;4;Satakunta;TYKS;249;
831;Taipalsaari;9;Etelä-Karjala;HYKS;250;
832;Taivalkoski;18;Pohjois-Pohjanmaa;OYS;251;
833;Taivassalo;3;Varsinais-Suomi;TYKS;252;
834;Tammela;5;Kanta-Häme;TAYS;253;
837;Tampere;6;Pirkanmaa;TAYS;254;
844;Tervo;13;Pohjois-Savo;KYS;255;
845;Tervola;20;Länsi-Pohja;OYS;256;
846;Teuva;15;Etelä-Pohjanmaa;TAYS;257;
848;Tohmajärvi;12;Pohjois-Karjala;KYS;258;
849;Toholampi;17;Keski-Pohjanmaa;OYS;259;
850;Toivakka;14;Keski-Suomi;KYS;260;
851;Tornio;20;Länsi-Pohja;OYS;261;
853;Turku;3;Varsinais-Suomi;TYKS;262;
857;Tuusniemi;13;Pohjois-Savo;KYS;263;
858;Tuusula;25;HUS;HYKS;264;
859;Tyrnävä;18;Pohjois-Pohjanmaa;OYS;265;
886;Ulvila;4;Satakunta;TYKS;266;
887;Urjala;6;Pirkanmaa;TAYS;267;
889;Utajärvi;18;Pohjois-Pohjanmaa;OYS;268;
890;Utsjoki;21;Lappi;OYS;269;
892;Uurainen;14;Keski-Suomi;KYS;270;
893;Uusikaarlepyy;16;Vaasa;TYKS;271;
895;Uusikaupunki;3;Varsinais-Suomi;TYKS;272;
785;Vaala;18;Pohjois-Pohjanmaa;OYS;273;
905;Vaasa;16;Vaasa;TYKS;274;
908;Valkeakoski;6;Pirkanmaa;TAYS;275;
92;Vantaa;25;HUS;HYKS;276;
915;Varkaus;13;Pohjois-Savo;KYS;277;
918;Vehmaa;3;Varsinais-Suomi;TYKS;278;
921;Vesanto;13;Pohjois-Savo;KYS;279;
922;Vesilahti;6;Pirkanmaa;TAYS;280;
924;Veteli;17;Keski-Pohjanmaa;OYS;281;
925;Vieremä;13;Pohjois-Savo;KYS;282;
927;Vihti;25;HUS;HYKS;283;
931;Viitasaari;14;Keski-Suomi;KYS;284;
934;Vimpeli;15;Etelä-Pohjanmaa;TAYS;285;
935;Virolahti;8;Kymenlaakso;HYKS;286;
936;Virrat;6;Pirkanmaa;TAYS;287;
946;Vöyri;16;Vaasa;TYKS;288;
976;Ylitornio;20;Länsi-Pohja;OYS;289;
977;Ylivieska;18;Pohjois-Pohjanmaa;OYS;290;
980;Ylöjärvi;6;Pirkanmaa;TAYS;291;
981;Ypäjä;5;Kanta-Häme;TAYS;292;
989;Ähtäri;15;Etelä-Pohjanmaa;TAYS;293;
992;Äänekoski;14;Keski-Suomi;KYS;294;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
